ranking,score,movie_name,score_num
192,8.5,谍影重重,211118
193,9.0,忠犬八公物语,68998
194,8.6,模仿游戏,284520
195,8.6,谍影重重2,175346
196,8.7,一个叫欧维的男人决定去死,140359
197,8.4,青蛇,246056
198,8.9,惊魂记,93292
199,8.6,完美陌生人,230557
200,8.9,哪吒闹海,91117
201,8.5,再次出发之纽约遇见你,192269
202,8.5,小萝莉的猴神大叔,185891
203,9.2,东京物语,57233
204,8.5,黑客帝国3：矩阵革命,173435
205,8.3,源代码,442542
206,8.5,新龙门客栈,204536
207,8.6,终结者2：审判日,154541
208,8.7,末路狂花,115151
209,8.3,秒速5厘米,332627
210,8.7,碧海蓝天,113077
211,8.7,绿里奇迹,117190
212,8.8,步履不停,94838
213,8.5,这个男人来自地球,200154
214,8.6,勇闯夺命岛,153307
215,9.2,城市之光,49777
216,8.6,海盗电台,175335
217,8.3,初恋这件小事,505998
218,8.4,无耻混蛋,242582
219,8.6,卡萨布兰卡,135197
220,8.7,海街日记,152196
221,8.7,无敌破坏王,204536
222,8.4,变脸,231286
223,8.8,爱在午夜降临前,129347
224,8.5,E.T. 外星人,168394
225,8.3,疯狂的石头,351022
226,8.5,发条橙,200420
227,9.1,黄金三镖客,56841
228,8.5,美国丽人,200255
229,8.6,荒野生存,137383
230,9.1,迁徙的鸟,54747
231,8.5,英国病人,185290
232,8.4,彗星来的那一夜,204163
233,8.3,国王的演讲,368301
234,8.5,血钻,147010
235,8.6,非常嫌疑犯,126652
236,8.8,聚焦,141078
237,8.6,燕尾蝶,113213
238,8.9,勇士,93608
239,8.3,穆赫兰道,253017
240,8.6,叫我第一名,116854
241,8.5,遗愿清单,143884
242,8.6,黑鹰坠落,128649
243,8.6,枪火,108618
244,9.0,我爱你,64203
245,8.6,上帝也疯狂,102960
246,8.5,荒岛余生,147825
247,8.6,大卫·戈尔的一生,104079
248,8.7,千钧一发,95223
249,8.7,2001太空漫游,103853
250,8.3,蓝色大门,287440
